,Atlanta,Boston,Brooklyn,Charlotte,Chicago,Cleveland,Dallas,Denver,Detroit,Golden State,Houston,Indiana,LA Clippers,LA Lakers,Memphis,Miami,Milwaukee,Minnesota,New Orleans,New York,Oklahoma City,Orlando,Philadelphia,Phoenix,Portland,Sacramento,San Antonio,Toronto,Utah,Washington
Atlanta,0,112,90,27,71,67,86,145,72,256,84,51,232,232,40,73,80,109,51,90,91,48,80,191,261,250,106,88,190,65
Boston,112,0,23,86,102,66,186,212,74,323,193,97,311,311,136,151,103,135,163,23,179,134,33,276,305,316,212,51,252,47
Brooklyn,90,23,0,64,86,49,165,196,58,308,170,78,294,294,115,131,88,123,140,0,160,112,10,258,294,301,190,41,237,25
Charlotte,27,86,64,0,70,52,112,163,60,275,111,51,254,254,62,78,79,113,78,64,113,55,54,214,275,269,133,70,207,40
Chicago,71,102,86,70,0,37,96,110,29,222,113,20,209,209,58,143,10,43,100,86,83,118,80,174,211,215,126,53,151,71
Cleveland,67,66,49,52,37,0,123,147,11,259,134,32,246,246,76,131,40,76,111,49,114,107,43,210,247,252,151,23,188,37
Dallas,86,186,165,112,96,123,0,79,120,177,27,92,149,149,50,133,103,103,53,165,23,115,156,106,196,173,30,145,120,142
Denver,145,212,196,163,110,147,79,0,139,113,105,120,100,100,105,207,110,84,130,196,61,186,189,70,118,107,96,162,45,179
Detroit,72,74,58,60,29,11,120,139,0,250,133,29,238,238,75,138,30,65,113,58,109,115,53,203,236,243,149,25,179,47
Golden State,256,323,308,275,222,259,177,113,250,0,196,233,41,41,215,310,220,189,230,308,166,292,302,78,64,8,178,271,71,292
Houston,84,193,170,111,113,134,27,105,133,196,0,104,165,165,58,116,121,127,38,170,50,102,161,122,220,193,23,156,144,146
Indiana,51,97,78,51,20,32,92,120,29,233,104,0,217,217,46,123,29,61,85,77,83,98,70,180,226,226,120,53,163,59
LA Clippers,232,311,294,254,209,246,149,100,238,41,165,217,0,0,192,281,209,183,201,294,142,264,287,43,99,43,144,261,70,276
LA Lakers,232,311,294,254,209,246,149,100,238,41,165,217,0,0,192,281,209,183,201,294,142,264,287,43,99,43,144,261,70,276
Memphis,40,136,115,62,58,76,50,105,75,215,58,46,192,192,0,105,67,84,43,115,51,82,106,151,222,210,76,98,150,92
Miami,73,151,131,78,143,131,133,207,138,310,116,123,281,281,105,0,152,181,80,131,147,25,122,238,325,306,138,148,251,111
Milwaukee,80,103,88,79,10,40,103,110,30,220,121,29,209,209,67,152,0,36,109,88,88,128,83,176,206,213,133,52,149,76
Minnesota,109,135,123,113,43,76,103,84,65,189,127,61,183,183,84,181,36,0,126,122,83,157,118,153,171,182,133,83,118,112
New Orleans,51,163,140,78,100,111,53,130,113,230,38,85,201,201,43,80,109,126,0,140,69,64,131,158,247,226,61,134,172,116
New York,90,23,0,64,86,49,165,196,58,308,170,77,294,294,115,131,88,122,140,0,159,112,10,257,293,301,190,41,237,24
Oklahoma City,91,179,160,113,83,114,23,61,109,166,50,83,142,142,51,147,88,83,69,159,0,127,151,101,178,161,50,134,103,138
Orlando,48,134,112,55,118,107,115,186,115,292,102,98,264,264,82,25,128,157,64,112,127,0,103,221,303,287,124,126,230,91
Philadelphia,80,33,10,54,80,43,156,189,53,302,161,70,287,287,106,122,83,118,131,10,151,103,0,250,289,295,181,40,231,15
Phoenix,191,276,258,214,174,210,106,70,203,78,122,180,43,43,151,238,176,153,158,257,101,221,250,0,121,76,102,227,60,238
Portland,261,305,294,275,211,247,196,118,236,64,220,226,99,99,222,325,206,171,247,293,178,303,289,121,0,58,206,254,76,282
Sacramento,250,316,301,269,215,252,173,107,243,8,193,226,43,43,210,306,213,182,226,301,161,287,295,76,58,0,175,264,64,285
San Antonio,106,212,190,133,126,151,30,96,149,178,23,120,144,144,76,138,133,133,61,190,50,124,181,102,206,175,0,173,130,166
Toronto,88,51,41,70,53,23,145,162,25,271,156,53,261,261,98,148,52,83,134,41,134,126,40,227,254,264,173,0,200,42
Utah,190,252,237,207,151,188,120,45,179,71,144,163,70,70,150,251,149,118,172,237,103,230,231,60,76,64,130,200,0,221
Washington,65,47,25,40,71,37,142,179,47,292,146,59,276,276,92,111,76,112,116,24,138,91,15,238,282,285,166,42,221,0
